task,task_label,split_type,split_seed,policy_seed,method,method_label,evidence_status,row_role,eval_status,successes,episodes,success_rate,avg_return,avg_len,endpoint_checkpoint,selected_unlabeled_count,total_train_demos,hidden_positive_selected,hidden_bad_selected,support_purity,hidden_positive_recall,hidden_bad_admission,router_branch,router_reason,estimated_positive_mass,count_ge_pos_min,manifest_path,support_audit_path,hidden_label_audit_path,eval_metrics_path,notes
can_paired,Can 80p/80b,balanced_80p80b,22,0,positive_only_nn,positive-only NN,diagnostic_support_only,diagnostic,missing_eval_metrics,,,,,,,80,90,76,4,0.950,,,,,,,results/final_paper/per_seed/can_paired_balanced_80p80b_split22_positive_only_nn_policy0/manifest.json,results/final_paper/per_seed/can_paired_balanced_80p80b_split22_positive_only_nn_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_balanced_80p80b_split22_positive_only_nn_policy0/hidden_label_audit.csv,,
can_paired,Can 80p/80b,balanced_80p80b,22,0,triage_bc,TRIAGE-BC,diagnostic_support_only,diagnostic,missing_eval_metrics,,,,,,,75,85,55,20,0.733,,,hard_adaptive_masscap,score shape is not a large ambiguous pool; use calibrated mass-capped hard support,101.775,55,results/final_paper/per_seed/can_paired_balanced_80p80b_split22_triage_bc_policy0/manifest.json,results/final_paper/per_seed/can_paired_balanced_80p80b_split22_triage_bc_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_balanced_80p80b_split22_triage_bc_policy0/hidden_label_audit.csv,,
can_paired,Can 80p/80b,balanced_80p80b,33,0,classifier_topk,classifier top-k,diagnostic_support_only,diagnostic,missing_eval_metrics,,,,,,,80,90,70,10,0.875,,,,,,,results/final_paper/per_seed/can_paired_balanced_80p80b_split33_classifier_topk_policy0/manifest.json,results/final_paper/per_seed/can_paired_balanced_80p80b_split33_classifier_topk_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_balanced_80p80b_split33_classifier_topk_policy0/hidden_label_audit.csv,,
can_paired,Can 80p/80b,balanced_80p80b,33,0,positive_only_nn,positive-only NN,diagnostic_endpoint,diagnostic,endpoint_evaluated,49,50,0.980,0.980,114.640,model_epoch_200,80,90,72,8,0.900,,,,,,,results/final_paper/per_seed/can_paired_balanced_80p80b_split33_positive_only_nn_policy0/manifest.json,results/final_paper/per_seed/can_paired_balanced_80p80b_split33_positive_only_nn_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_balanced_80p80b_split33_positive_only_nn_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_balanced_80p80b_split33_positive_only_nn_policy0/eval/metrics.csv,
can_paired,Can 80p/80b,balanced_80p80b,33,0,triage_bc,TRIAGE-BC,diagnostic_endpoint,diagnostic,endpoint_evaluated,43,50,0.860,0.860,147.640,model_epoch_200,40,50,39,1,0.975,,,hard_adaptive_masscap,score shape is not a large ambiguous pool; use calibrated mass-capped hard support,73.535,5,results/final_paper/per_seed/can_paired_balanced_80p80b_split33_triage_bc_policy0/manifest.json,results/final_paper/per_seed/can_paired_balanced_80p80b_split33_triage_bc_policy0/support_audit.csv,results/final_paper/per_seed/can_paired_balanced_80p80b_split33_triage_bc_policy0/hidden_label_audit.csv,results/final_paper/per_seed/can_paired_balanced_80p80b_split33_triage_bc_policy0/eval/metrics.csv,
lift_mg,Lift MG,mg_sparse,11,0,all_train_positive_oracle,all-positive oracle,diagnostic_oracle_endpoint,oracle,endpoint_evaluated,33,50,0.660,0.660,75.400,model_epoch_200,0,286,0,0,0.000,,,,,,,results/final_paper/per_seed/lift_mg_mg_sparse_split11_all_train_positive_oracle_policy0/manifest.json,results/final_paper/per_seed/lift_mg_mg_sparse_split11_all_train_positive_oracle_policy0/support_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split11_all_train_positive_oracle_policy0/hidden_label_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split11_all_train_positive_oracle_policy0/eval/metrics.csv,
lift_mg,Lift MG,mg_sparse,11,0,bc_all_mixed,all-demo BC,primary_endpoint,primary,endpoint_evaluated,13,50,0.260,0.260,125.900,model_epoch_200,0,1440,0,0,0.000,,,,,,,results/final_paper/per_seed/lift_mg_mg_sparse_split11_bc_all_mixed_policy0/manifest.json,results/final_paper/per_seed/lift_mg_mg_sparse_split11_bc_all_mixed_policy0/support_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split11_bc_all_mixed_policy0/hidden_label_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split11_bc_all_mixed_policy0/eval/metrics.csv,
lift_mg,Lift MG,mg_sparse,11,0,classifier_topk,classifier top-k,primary_endpoint,primary,endpoint_evaluated,16,50,0.320,0.320,110.980,model_epoch_200,160,170,154,6,0.963,,,,,,,results/final_paper/per_seed/lift_mg_mg_sparse_split11_classifier_topk_policy0/manifest.json,results/final_paper/per_seed/lift_mg_mg_sparse_split11_classifier_topk_policy0/support_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split11_classifier_topk_policy0/hidden_label_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split11_classifier_topk_policy0/eval/metrics.csv,
lift_mg,Lift MG,mg_sparse,11,0,positive_only_nn,positive-only NN,primary_endpoint,primary,endpoint_evaluated,23,50,0.460,0.460,98.500,model_epoch_200,160,170,85,75,0.531,,,,,,,results/final_paper/per_seed/lift_mg_mg_sparse_split11_positive_only_nn_policy0/manifest.json,results/final_paper/per_seed/lift_mg_mg_sparse_split11_positive_only_nn_policy0/support_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split11_positive_only_nn_policy0/hidden_label_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split11_positive_only_nn_policy0/eval/metrics.csv,
lift_mg,Lift MG,mg_sparse,11,0,triage_bc,TRIAGE-BC,primary_endpoint,primary,endpoint_evaluated,27,50,0.540,0.540,88.140,model_epoch_200,178,188,169,9,0.949,,,hard_pos_min,labeled positives are high-scoring and enough unlabeled demos clear pos-min,461.316,178,results/final_paper/per_seed/lift_mg_mg_sparse_split11_triage_bc_policy0/manifest.json,results/final_paper/per_seed/lift_mg_mg_sparse_split11_triage_bc_policy0/support_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split11_triage_bc_policy0/hidden_label_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split11_triage_bc_policy0/eval/metrics.csv,
lift_mg,Lift MG,mg_sparse,11,0,weighted_bc,weighted BC,primary_endpoint,primary,endpoint_evaluated,24,50,0.480,0.480,109.760,model_epoch_200,1420,1430,276,1144,0.194,,,,,,,results/final_paper/per_seed/lift_mg_mg_sparse_split11_weighted_bc_policy0/manifest.json,results/final_paper/per_seed/lift_mg_mg_sparse_split11_weighted_bc_policy0/support_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split11_weighted_bc_policy0/hidden_label_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split11_weighted_bc_policy0/eval/metrics.csv,
lift_mg,Lift MG,mg_sparse,22,0,all_train_positive_oracle,all-positive oracle,diagnostic_oracle_endpoint,oracle,endpoint_evaluated,34,50,0.680,0.680,76.660,model_epoch_200,0,286,0,0,0.000,,,,,,,results/final_paper/per_seed/lift_mg_mg_sparse_split22_all_train_positive_oracle_policy0/manifest.json,results/final_paper/per_seed/lift_mg_mg_sparse_split22_all_train_positive_oracle_policy0/support_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split22_all_train_positive_oracle_policy0/hidden_label_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split22_all_train_positive_oracle_policy0/eval/metrics.csv,
lift_mg,Lift MG,mg_sparse,22,0,bc_all_mixed,all-demo BC,primary_endpoint,primary,endpoint_evaluated,10,50,0.200,0.200,129.220,model_epoch_200,0,1440,0,0,0.000,,,,,,,results/final_paper/per_seed/lift_mg_mg_sparse_split22_bc_all_mixed_policy0/manifest.json,results/final_paper/per_seed/lift_mg_mg_sparse_split22_bc_all_mixed_policy0/support_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split22_bc_all_mixed_policy0/hidden_label_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split22_bc_all_mixed_policy0/eval/metrics.csv,
lift_mg,Lift MG,mg_sparse,22,0,classifier_topk,classifier top-k,primary_endpoint,primary,endpoint_evaluated,19,50,0.380,0.380,107.200,model_epoch_200,160,170,150,10,0.938,,,,,,,results/final_paper/per_seed/lift_mg_mg_sparse_split22_classifier_topk_policy0/manifest.json,results/final_paper/per_seed/lift_mg_mg_sparse_split22_classifier_topk_policy0/support_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split22_classifier_topk_policy0/hidden_label_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split22_classifier_topk_policy0/eval/metrics.csv,
lift_mg,Lift MG,mg_sparse,22,0,positive_only_nn,positive-only NN,primary_endpoint,primary,endpoint_evaluated,34,50,0.680,0.680,70.960,model_epoch_200,160,170,112,48,0.700,,,,,,,results/final_paper/per_seed/lift_mg_mg_sparse_split22_positive_only_nn_policy0/manifest.json,results/final_paper/per_seed/lift_mg_mg_sparse_split22_positive_only_nn_policy0/support_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split22_positive_only_nn_policy0/hidden_label_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split22_positive_only_nn_policy0/eval/metrics.csv,
lift_mg,Lift MG,mg_sparse,22,0,triage_bc,TRIAGE-BC,primary_endpoint,primary,endpoint_evaluated,25,50,0.500,0.500,90.720,model_epoch_200,161,171,150,11,0.932,,,hard_pos_min,labeled positives are high-scoring and enough unlabeled demos clear pos-min,377.980,161,results/final_paper/per_seed/lift_mg_mg_sparse_split22_triage_bc_policy0/manifest.json,results/final_paper/per_seed/lift_mg_mg_sparse_split22_triage_bc_policy0/support_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split22_triage_bc_policy0/hidden_label_audit.csv,results/final_paper/per_seed/lift_mg_mg_sparse_split22_triage_bc_policy0/eval/metrics.csv,
